circlename,regionname,divisionname,officename,pincode,officetype,delivery,district,statename,latitude,longitude,office_type_full
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Ambdas B.O,415605,BO,Delivery,RATNAGIRI,MAHARASHTRA,17.5333060,73.5166940,Branch Office
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Bhile B.O,415605,BO,Delivery,RATNAGIRI,MAHARASHTRA,17.5333050,73.5166950,Branch Office
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Kadavali B.O,415605,BO,Delivery,RATNAGIRI,MAHARASHTRA,17.7195596,73.3968056,Branch Office
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Kalambaste B.O,415605,BO,Delivery,RATNAGIRI,MAHARASHTRA,17.5220398,73.5490962,Branch Office
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Teru B.O,415605,BO,Delivery,RATNAGIRI,MAHARASHTRA,17.5333040,73.5166960,Branch Office
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Pali(CPN) B.O,415605,BO,Delivery,RATNAGIRI,MAHARASHTRA,17.5509880,73.5525991,Branch Office
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Parshuram B.O,415605,BO,Delivery,RATNAGIRI,MAHARASHTRA,17.5509880,73.5525991,Branch Office
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Kaluste B.O,415605,BO,Delivery,RATNAGIRI,MAHARASHTRA,17.5333713,73.4832427,Branch Office
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Masu B.O,415726,BO,Delivery,RATNAGIRI,MAHARASHTRA,17.4828910,73.1924824,Branch Office
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Pacheri Sada B.O,415726,BO,Delivery,RATNAGIRI,MAHARASHTRA,17.3570500,73.3543000,Branch Office
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Sada Jambhari B.O,415726,BO,Delivery,RATNAGIRI,MAHARASHTRA,17.3570500,73.3543000,Branch Office
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Adkhaltari B.O,415714,BO,Delivery,RATNAGIRI,MAHARASHTRA,17.8606500,73.1523500,Branch Office
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Sukondi B.O,415714,BO,Delivery,RATNAGIRI,MAHARASHTRA,17.8579098,73.1294214,Branch Office
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Nilavane B.O,415621,BO,Delivery,RATNAGIRI,MAHARASHTRA,17.7285000,73.4569000,Branch Office
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Chickalgaon B.O,415712,BO,Delivery,RATNAGIRI,MAHARASHTRA,17.7630500,73.1987000,Branch Office
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Dehen B.O,415712,BO,Delivery,RATNAGIRI,MAHARASHTRA,17.7630500,73.1987000,Branch Office
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Kangwai B.O,415712,BO,Delivery,RATNAGIRI,MAHARASHTRA,17.753119000000002,73.188054800000003,Branch Office
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Umbarle B.O,415712,BO,Delivery,RATNAGIRI,MAHARASHTRA,17.7531190,73.1880548,Branch Office
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Choravane B.O,415718,BO,Delivery,RATNAGIRI,MAHARASHTRA,17.7195606,73.3968046,Branch Office
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Pimpar B.O,415703,BO,Delivery,RATNAGIRI,MAHARASHTRA,17.3964655,73.2685780,Branch Office
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Veldur B.O,415703,BO,Delivery,RATNAGIRI,MAHARASHTRA,17.5081000,73.1914000,Branch Office
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Chinchavali B.O,415640,BO,Delivery,RATNAGIRI,MAHARASHTRA,17.8371700,73.4039500,Branch Office
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Tulshi Khurd B.O,415640,BO,Delivery,RATNAGIRI,MAHARASHTRA,17.8371700,73.4039500,Branch Office
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Alsure B.O,415709,BO,Delivery,RATNAGIRI,MAHARASHTRA,17.7195576,73.3968076,Branch Office
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Ambaye B.O,415709,BO,Delivery,RATNAGIRI,MAHARASHTRA,17.744199999999999,73.384100000000004,Branch Office
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Ashti B.O,415709,BO,Delivery,RATNAGIRI,MAHARASHTRA,17.7195566,73.3968086,Branch Office
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Kondivali B.O,415709,BO,Delivery,RATNAGIRI,MAHARASHTRA,17.681458200000002,73.393700899999999,Branch Office
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Nandgaon (Khed) B.O,415709,BO,Delivery,RATNAGIRI,MAHARASHTRA,17.7700050,73.1199950,Branch Office
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Sanglat B.O,415709,BO,Delivery,RATNAGIRI,MAHARASHTRA,17.7195586,73.3968066,Branch Office
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Anari B.O,415604,BO,Delivery,RATNAGIRI,MAHARASHTRA,17.533304999999999,73.516694999999999,Branch Office
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Moravane B.O,415604,BO,Delivery,RATNAGIRI,MAHARASHTRA,17.551425999999999,73.599890099999996,Branch Office
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Ovali B.O,415604,BO,Delivery,RATNAGIRI,MAHARASHTRA,17.4924,73.576149999999998,Branch Office
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Kulvandi B.O,415715,BO,Delivery,RATNAGIRI,MAHARASHTRA,17.7195596,73.3968056,Branch Office
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Shindi B.O,415715,BO,Delivery,RATNAGIRI,MAHARASHTRA,17.8797219,74.5902575,Branch Office
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Pimploli B.O,415202,BO,Delivery,RATNAGIRI,MAHARASHTRA,17.9267500,73.3271800,Branch Office
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Songaon B.O,415722,BO,Delivery,RATNAGIRI,MAHARASHTRA,17.7195586,73.3968066,Branch Office
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Aravali B.O,415608,BO,Delivery,RATNAGIRI,MAHARASHTRA,17.2972500,73.5000000,Branch Office
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Kase B.O,415608,BO,Delivery,RATNAGIRI,MAHARASHTRA,17.2972500,73.5000000,Branch Office
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Dhutroli B.O,415203,BO,Delivery,RATNAGIRI,MAHARASHTRA,17.9330500,73.2251500,Branch Office
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Umroli B.O,415702,BO,Delivery,RATNAGIRI,MAHARASHTRA,17.5333060,73.5166940,Branch Office
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Zombadi B.O,415702,BO,Delivery,RATNAGIRI,MAHARASHTRA,17.4868544,73.3273063,Branch Office
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Pate Pillavali B.O,415641,BO,Delivery,RATNAGIRI,MAHARASHTRA,16.5559500,73.4120200,Branch Office
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Peve B.O,415214,BO,Delivery,RATNAGIRI,MAHARASHTRA,17.5490500,73.2814500,Branch Office
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Bamnoli B.O,415701,BO,Delivery,RATNAGIRI,MAHARASHTRA,17.5333070,73.5166930,Branch Office
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Borgaon B.O,415701,BO,Delivery,RATNAGIRI,MAHARASHTRA,17.5333070,73.5166930,Branch Office
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Mandki B.O,415606,BO,Delivery,RATNAGIRI,MAHARASHTRA,17.533306,73.516694000000001,Branch Office
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Donavali B.O,415628,BO,Delivery,RATNAGIRI,MAHARASHTRA,17.5333080,73.5166920,Branch Office
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Khopad B.O,415628,BO,Delivery,RATNAGIRI,MAHARASHTRA,17.361899999999999,73.760959999999997,Branch Office
